Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61483981682_3A,Winter Wheat,21.06999969482422,0.87,0.687,,12.6,15,0.5,29.4,Low
LPIS-61493962944_26A,Winter Wheat,21,0.766,0.606,,9,15,0.62,9.8,Low
LPIS-61753978942_146B,Sugar Beet,20.979999542236328,0.701,0.506,,20,40,0.68,19.1,Low
LPIS-61563957379_9B,Rapeseed,20.8799991607666,0.882,0.694,,9.9,15,0.42,32.7,Moderate
LPIS-61453987963_33A,Sugar Beet,20.739999771118164,0.81,0.54,,7.6,15,0.55,15.3,Low
LPIS-61473992689_34A,Spring Barley,20.59000015258789,0.709,0.569,,14.1,15,0.64,10.4,Low
LPIS-61613980699_240A,Winter Wheat,20.579999923706055,0.804,0.618,,11.2,15,0.58,14.3,Low
LPIS-61603987239_59A,Maize,20.489999771118164,0.694,0.45,,12.5,40,0.58,25.9,Low
LPIS-61443973799_14C,Rapeseed,20.450000762939453,0.721,0.561,,14.8,15,0.59,10.2,Low
LPIS-61533910870_74A,Unknown,20.389999389648438,0.779,0.606,,12.8,15,0.33,29.6,Low
LPIS-61634002623_6A,Rapeseed,20.3799991607666,0.77,0.596,,11.4,40,0.62,21,Low
LPIS-61583943388_1A,Rapeseed,20.3700008392334,0.797,0.64,,18.8,15,0.42,18.1,Low
LPIS-61654001541_48A,Ley / Grass,20.34000015258789,0.772,0.53,,14.1,40,0.47,29.6,Low
LPIS-61523971416_12A,Rapeseed,20.299999237060547,0.562,0.383,,26.6,15,0.75,10.3,Low
LPIS-61573955934_4F,Spring Barley,20.239999771118164,0.834,0.679,,10.6,15,0.58,21.7,Low
LPIS-61573969356_206A,Sugar Beet,20.239999771118164,0.894,0.697,,6.8,15,0.54,49,Moderate
LPIS-61533998270_6A,Winter Wheat,20.219999313354492,0.769,0.545,,13.2,15,0.53,9.2,Low
LPIS-61523987715_1B,Winter Wheat,20.170000076293945,0.562,0.383,,22.8,15,0.62,9.8,Low
LPIS-61513921046_18A,Rapeseed,20.139999389648438,0.778,0.621,,12.7,15,0.52,13.8,Low
