Parcel,Crop,Area (ha),NDVI,NDRE,Vigor Z,Heterog.,Runoff,Conf.,Risk Score,Risk Level
LPIS-61713988730_41A,Rye,2.559999942779541,0.735,0.487,,5.2,15,0.71,8.6,Low
LPIS-61624043752_14A,Rye,2.559999942779541,0.743,0.542,,9.2,40,0.59,20.6,Low
LPIS-61573947656_2C,Unknown,2.549999952316284,0.79,0.627,,11.3,15,0.33,32,Moderate
LPIS-61554068150_2A,Ley / Grass,2.549999952316284,0.682,0.465,,14.5,40,0.58,18,Low
LPIS-61603962737_24A,Ley / Grass,2.5399999618530273,0.762,0.536,,13.7,15,0.51,18.8,Low
LPIS-61634041416_20A,Ley / Grass,2.5399999618530273,0.791,0.537,,8.2,40,0.45,32.4,Moderate
LPIS-61743975962_2A,Ley / Grass,2.5399999618530273,0.819,0.538,,8.1,40,0.66,37.4,Moderate
LPIS-61574027351_20A,Winter Wheat,2.5399999618530273,0.824,0.573,,8.3,15,0.74,17.6,Low
LPIS-61733965323_1A,Ley / Grass,2.5399999618530273,0.7,0.446,,22.6,40,0.51,18.3,Low
LPIS-61763965763_4A,Fallow,2.5399999618530273,0.789,0.529,,13.6,40,0.61,30,Moderate
LPIS-61614045166_25A,Maize,2.5299999713897705,0.81,0.621,,21.9,40,0.79,35.9,Moderate
LPIS-61554000337_10B,Fallow,2.5299999713897705,0.776,0.509,,6.6,40,0.64,26.6,Low
LPIS-61723946594_34B,Ley / Grass,2.5299999713897705,0.712,0.45,,7.7,40,0.59,17.1,Low
LPIS-61573997248_23A,Spring Barley,2.5299999713897705,0.816,0.632,,23.2,15,0.56,18.9,Low
LPIS-61743981833_89A,Rapeseed,2.5299999713897705,0.759,0.571,,13.1,40,0.54,18.8,Low
LPIS-61743956109_79A,Rye,2.5299999713897705,0.89,0.668,,3.1,40,0.61,65.1,High
LPIS-61594007031_4A,Maize,2.5299999713897705,0.507,0.351,,58.7,15,0.67,13.6,Low
LPIS-61683965551_1A,Unknown,2.5299999713897705,0.741,0.482,,10.4,40,0.67,29,Low
LPIS-61614033154_13A,Rapeseed,2.5199999809265137,0.808,0.627,,8.8,40,0.68,27.7,Low
LPIS-61684008300_8A,Ley / Grass,2.5199999809265137,0.785,0.513,,12.8,40,0.67,31.5,Moderate
LPIS-61534034964_8A,Fallow,2.5199999809265137,0.662,0.433,,14.3,15,0.5,8.7,Low
LPIS-61564068378_16A,Ley / Grass,2.5199999809265137,0.625,0.437,,12.5,40,0.53,18,Low
LPIS-61673958647_1A,Ley / Grass,2.5199999809265137,0.696,0.481,,10.7,40,0.66,17.8,Low
LPIS-61633990656_18A,Ley / Grass,2.5199999809265137,0.675,0.436,,31.7,15,0.53,10.3,Low
LPIS-61763965487_5A,Ley / Grass,2.5199999809265137,0.78,0.5,,10,40,0.57,30.1,Moderate
LPIS-61543989620_10A,Sugar Beet,2.5199999809265137,0.727,0.506,,6.2,15,0.61,8.4,Low
LPIS-61574058375_23A,Winter Wheat,2.509999990463257,0.749,0.581,,13.3,40,0.56,19,Low
LPIS-61564075689_23A,Ley / Grass,2.509999990463257,0.766,0.537,,8.8,40,0.83,28.1,Low
LPIS-61563972387_29I,Fallow,2.509999990463257,0.684,0.428,,26.3,5,0.37,5.9,Low
LPIS-61713993607_176A,Spring Barley,2.509999990463257,0.706,0.538,,8.8,15,0.61,9.4,Low
LPIS-61503949602_4A,Fallow,2.509999990463257,0.826,0.634,,5.7,15,0.75,28.1,Low
LPIS-61613970906_46A,Ley / Grass,2.509999990463257,0.674,0.442,,15.4,40,0.57,17.8,Low
LPIS-61544009385_8A,Ley / Grass,2.509999990463257,0.664,0.435,,8,40,0.57,17.1,Low
LPIS-61584005629_22A,Winter Wheat,2.509999990463257,0.762,0.612,,17.6,15,0.6,10.8,Low
LPIS-61734011121_16A,Unknown,2.5,0.738,0.48,,14.5,40,0.75,28.8,Low
LPIS-61713975290_5F,Sugar Beet,2.5,0.798,0.635,,13.6,15,0.53,13.9,Low
LPIS-61583983643_60A,Fallow,2.5,0.663,0.523,,18,15,0.72,10.7,Low
LPIS-61773931775_21A,Winter Wheat,2.5,0.658,0.481,,23,70,0.71,30.3,Moderate
LPIS-61624013732_9A,Fallow,2.5,0.644,0.368,,21,40,0.6,17.3,Low
LPIS-61763951385_57A,Maize,2.490000009536743,0.559,0.366,,24,40,0.6,18.7,Low
LPIS-61633982980_215A,Ley / Grass,2.490000009536743,0.454,0.3,,71.3,15,0.73,14.5,Low
LPIS-61634000239_26A,Ley / Grass,2.490000009536743,0.701,0.468,,9.7,40,0.51,17.4,Low
LPIS-61624035627_12A,Ley / Grass,2.490000009536743,0.687,0.436,,16.9,15,0.63,8.7,Low
LPIS-61584045804_110A,Rapeseed,2.490000009536743,0.685,0.512,,17.8,40,0.77,19.2,Low
LPIS-61693955252_13A,Ley / Grass,2.490000009536743,0.856,0.596,,5.6,70,0.75,66.2,High
LPIS-61564086110_40A,Ley / Grass,2.4800000190734863,0.747,0.483,,15.9,15,0.73,15.5,Low
LPIS-61723990808_7A,Ley / Grass,2.4800000190734863,0.675,0.489,,7.9,40,0.53,17.9,Low
LPIS-61733953902_7A,Fallow,2.4800000190734863,0.764,0.51,,10.3,40,0.74,24.9,Low
LPIS-61603979040_35C,Ley / Grass,2.4800000190734863,0.845,0.592,,3.5,15,0.64,33.3,Moderate
LPIS-61683998683_7A,Ley / Grass,2.4800000190734863,0.827,0.568,,9.9,40,0.43,39.4,Moderate
LPIS-61513990350_14C,Winter Wheat,2.4700000286102295,0.838,0.587,,6.2,15,0.64,20.6,Low
LPIS-61813967953_10A,Ley / Grass,2.4700000286102295,0.607,0.377,,33.4,70,0.58,30,Moderate
LPIS-61544017643_7A,Winter Wheat,2.4700000286102295,0.772,0.583,,15.5,15,0.84,10,Low
LPIS-61714008454_5A,Ley / Grass,2.4700000286102295,0.862,0.595,,4.2,70,0.66,67.3,High
LPIS-61714019590_21A,Ley / Grass,2.4600000381469727,0.78,0.521,,13.1,40,0.6,30.7,Moderate
LPIS-61583970463_207A,Spring Barley,2.4600000381469727,0.747,0.499,,10.7,40,0.58,17.5,Low
LPIS-61623952269_3D,Ley / Grass,2.4600000381469727,0.645,0.421,,17.7,40,0.52,18,Low
LPIS-61553948146_17A,Rapeseed,2.4600000381469727,0.752,0.588,,15.5,15,0.5,10.3,Low
LPIS-61574036062_12C,Rapeseed,2.4600000381469727,0.712,0.494,,28.9,15,0.73,10.6,Low
LPIS-61683965461_13A,Fallow,2.4600000381469727,0.601,0.397,,25.3,40,0.7,18.9,Low
LPIS-61713990326_24A,Rapeseed,2.4600000381469727,0.781,0.618,,14.3,40,1,23.5,Low
LPIS-61624055912_11A,Ley / Grass,2.4600000381469727,0.775,0.58,,12,40,0.68,30.7,Moderate
LPIS-61703937347_12A,Ley / Grass,2.4600000381469727,0.575,0.371,,14.8,15,0.65,8.6,Low
LPIS-61714014993_28A,Ley / Grass,2.4600000381469727,0.587,0.367,,19.4,15,0.74,8.9,Low
LPIS-61723993392_14A,Ley / Grass,2.4600000381469727,0.732,0.496,,15.8,15,0.57,13.1,Low
LPIS-61673991293_50A,Fallow,2.450000047683716,0.825,0.542,,9.1,40,0.43,35.8,Moderate
LPIS-61494025557_54A,Spring Barley,2.450000047683716,0.627,0.446,,16.9,15,0.59,9.6,Low
LPIS-61504039892_19A,Fallow,2.450000047683716,0.651,0.51,,22.6,15,0.6,11.1,Low
LPIS-61723982243_18A,Unknown,2.450000047683716,0.652,0.451,,15.4,15,0.68,9.2,Low
LPIS-61514045062_22A,Spring Barley,2.450000047683716,0.773,0.576,,15.3,15,0.31,9.9,Low
LPIS-61544072451_15A,Fallow,2.450000047683716,0.702,0.525,,14.9,40,0.53,18.9,Low
LPIS-61783965708_196B,Ley / Grass,2.450000047683716,0.67,0.404,,12.7,70,0.54,27.7,Low
LPIS-61684021023_8A,Ley / Grass,2.440000057220459,0.704,0.487,,16.3,40,0.73,18.3,Low
LPIS-61663984391_9A,Ley / Grass,2.440000057220459,0.837,0.615,,16.8,40,0.6,42.5,Moderate
LPIS-61683919005_6A,Ley / Grass,2.440000057220459,0.521,0.344,,20.6,40,0.44,18.4,Low
LPIS-61683907057_1A,Ley / Grass,2.430000066757202,0.61,0.392,,8.8,40,0.51,17,Low
LPIS-61703915658_19A,Ley / Grass,2.430000066757202,0.653,0.4,,14.9,40,0.55,17.2,Low
LPIS-61713992043_27A,Rapeseed,2.430000066757202,0.75,0.566,,8.1,15,0.85,9.3,Low
LPIS-61713920876_7A,Ley / Grass,2.430000066757202,0.642,0.404,,12.2,40,0.76,17.2,Low
LPIS-61574071408_67A,Ley / Grass,2.430000066757202,0.594,0.402,,9,15,0.6,8.4,Low
LPIS-61514017966_5A,Fallow,2.430000066757202,0.833,0.588,,5.4,15,0.43,28.6,Low
LPIS-61693963853_10A,Ley / Grass,2.430000066757202,0.685,0.456,,30.6,40,0.9,19.4,Low
LPIS-61594069625_26A,Winter Wheat,2.4200000762939453,0.614,0.402,,31.8,40,0.61,19.4,Low
LPIS-61524035247_21A,Ley / Grass,2.4200000762939453,0.865,0.603,,3.7,70,0.58,68.2,High
LPIS-61653987517_8A,Ley / Grass,2.4200000762939453,0.845,0.564,,2.8,40,0.75,41.8,Moderate
LPIS-61554029162_100A,Spring Barley,2.4200000762939453,0.808,0.648,,7.2,40,0.57,25,Low
LPIS-61653994421_8A,Ley / Grass,2.4200000762939453,0.736,0.506,,13,40,0.38,22.8,Low
LPIS-61614000046_8A,Winter Wheat,2.4200000762939453,0.861,0.654,,12.6,15,0.56,27.1,Low
LPIS-61504039722_32A,Winter Wheat,2.4200000762939453,0.747,0.572,,8.8,15,0.62,9.5,Low
LPIS-61683932266_6A,Spring Barley,2.4100000858306885,0.69,0.472,,12.3,40,0.64,17.8,Low
LPIS-61543988109_79A,Winter Wheat,2.4100000858306885,0.757,0.575,,2.4,15,0.6,8.8,Low
LPIS-61714018273_16A,Rapeseed,2.4100000858306885,0.793,0.582,,11,15,0.78,15.8,Low
LPIS-61723972957_7B,Spring Barley,2.4100000858306885,0.742,0.563,,30.6,15,0.7,11.6,Low
LPIS-61724012525_1A,Fallow,2.4100000858306885,0.765,0.522,,19.1,15,0.57,17.3,Low
LPIS-61493995649_64B,Sugar Beet,2.4100000858306885,0.848,0.695,,11.6,15,0.27,28.5,Low
LPIS-61594058635_172B,Ley / Grass,2.4100000858306885,0.72,0.457,,16.5,15,0.65,10.5,Low
LPIS-61624027808_6A,Winter Wheat,2.4100000858306885,0.718,0.481,,7.4,15,0.61,8.2,Low
LPIS-61663953194_13C,Ley / Grass,2.4100000858306885,0.707,0.462,,9.4,70,0.56,28,Low
LPIS-61623977901_9A,Ley / Grass,2.4000000953674316,0.695,0.444,,13.6,40,0.62,17.4,Low
LPIS-61523917692_2A,Sugar Beet,2.4000000953674316,0.84,0.661,,14.2,40,0.64,35,Moderate
LPIS-61713922445_38A,Spring Barley,2.4000000953674316,0.689,0.424,,12.1,40,0.77,17,Low
LPIS-61783983343_167A,Ley / Grass,2.390000104904175,0.699,0.461,,28.7,40,0.88,19.2,Low
LPIS-61683936682_3A,Winter Wheat,2.390000104904175,0.824,0.603,,9.8,40,0.72,27.1,Low
LPIS-61673947119_12A,Ley / Grass,2.390000104904175,0.843,0.569,,5.5,40,0.38,41.7,Moderate
LPIS-61524054479_88B,Maize,2.390000104904175,0.749,0.585,,19.5,40,0.49,31.8,Moderate
LPIS-61604050601_141A,Ley / Grass,2.390000104904175,0.622,0.413,,27.4,40,0.61,19.1,Low
LPIS-61753986949_9B,Ley / Grass,2.390000104904175,0.585,0.372,,35.3,40,0.42,19.5,Low
LPIS-61743950276_12A,Unknown,2.390000104904175,0.707,0.437,,15.2,15,0.61,12.8,Low
LPIS-61733980610_1A,Unknown,2.390000104904175,0.671,0.432,,18.5,15,0.76,9,Low
LPIS-61463998888_47A,Winter Wheat,2.390000104904175,0.67,0.527,,8,15,0.6,9.6,Low
LPIS-61513989616_16A,Unknown,2.380000114440918,0.772,0.523,,15.2,15,0.81,27.3,Low
LPIS-61773982519_15B,Fallow,2.380000114440918,0.579,0.362,,18.3,70,0.55,28.5,Low
LPIS-61674009134_6A,Ley / Grass,2.380000114440918,0.82,0.553,,8.2,70,0.63,48.6,Moderate
LPIS-61524058166_32A,Maize,2.369999885559082,0.708,0.523,,27,40,0.37,29.4,Low
LPIS-61733986253_26A,Rapeseed,2.369999885559082,0.651,0.476,,11.8,40,0.77,18.4,Low
LPIS-61624018491_8A,Fallow,2.369999885559082,0.685,0.449,,15.8,15,0.62,8.8,Low
LPIS-61624059709_32A,Ley / Grass,2.369999885559082,0.649,0.406,,14.3,70,0.62,28.1,Low
LPIS-61743958860_23A,Rapeseed,2.369999885559082,0.802,0.591,,9.8,40,0.78,26.3,Low
LPIS-61733982410_3A,Unknown,2.369999885559082,0.662,0.443,,16.3,15,0.79,9.1,Low
LPIS-61623961159_3A,Oats,2.359999895095825,0.785,0.526,,9.5,15,0.57,16.9,Low
LPIS-61594003541_290A,Spring Barley,2.359999895095825,0.765,0.601,,11.9,15,0.7,10,Low
LPIS-61613969105_4A,Ley / Grass,2.359999895095825,0.587,0.414,,33.2,15,0.61,11.2,Low
LPIS-61584065517_74A,Ley / Grass,2.359999895095825,0.817,0.643,,14.4,40,0.53,39.2,Moderate
LPIS-61763920474_144A,Ley / Grass,2.359999895095825,0.668,0.436,,10.2,40,0.68,17.2,Low
LPIS-61733955788_36A,Ley / Grass,2.359999895095825,0.361,0.236,,93.7,70,0.63,43.7,Moderate
LPIS-61514016258_29C,Ley / Grass,2.359999895095825,0.7,0.474,,15.9,15,0.54,9.1,Low
LPIS-61663986966_7A,Ley / Grass,2.359999895095825,0.842,0.616,,8.2,40,0.71,42.5,Moderate
LPIS-61723981407_1A,Unknown,2.3499999046325684,0.765,0.513,,10.6,15,0.82,25.3,Low
LPIS-61564065033_4A,Spring Barley,2.3499999046325684,0.686,0.524,,14.5,40,0.57,19,Low
LPIS-61723989003_4A,Winter Wheat,2.3499999046325684,0.717,0.537,,11,15,0.91,9.5,Low
LPIS-61624039062_16A,Ley / Grass,2.3499999046325684,0.663,0.441,,11.1,40,0.67,17.5,Low
LPIS-61544062487_3E,Winter Wheat,2.3499999046325684,0.633,0.45,,16.1,15,0.49,9.5,Low
LPIS-61643999886_99A,Ley / Grass,2.3499999046325684,0.581,0.388,,23.6,15,0.46,9.8,Low
LPIS-61513940148_19A,Ley / Grass,2.3499999046325684,0.82,0.563,,14.4,15,0.63,29.6,Low
LPIS-61773962126_200A,Ley / Grass,2.3499999046325684,0.703,0.462,,27.8,40,0.55,19.1,Low
LPIS-61684018606_1B,Sugar Beet,2.3399999141693115,0.776,0.566,,14.7,40,0.58,18.6,Low
LPIS-61694006395_5A,Ley / Grass,2.3399999141693115,0.754,0.521,,31.6,40,0.49,28,Low
LPIS-61523997372_18A,Ley / Grass,2.3399999141693115,0.795,0.55,,7.4,40,0.69,33.3,Moderate
LPIS-61503992418_48A,Ley / Grass,2.3399999141693115,0.729,0.503,,19.1,15,0.63,13.1,Low
LPIS-61543940572_19F,Winter Wheat,2.3399999141693115,0.8,0.641,,16.5,15,0.57,14.3,Low
LPIS-61514008442_5A,Sugar Beet,2.3399999141693115,0.673,0.467,,16.8,15,0.57,9.4,Low
LPIS-61753945549_71A,Ley / Grass,2.3399999141693115,0.731,0.487,,8.1,70,0.87,31.8,Moderate
LPIS-61514032229_11A,Spring Barley,2.3399999141693115,0.788,0.622,,14.5,15,0.62,12.7,Low
LPIS-61594028838_2A,Winter Wheat,2.3399999141693115,0.785,0.59,,5.3,15,0.86,9.1,Low
LPIS-61693970336_6A,Ley / Grass,2.3399999141693115,0.653,0.418,,16.6,40,0.67,17.7,Low
LPIS-61714026187_36A,Ley / Grass,2.3299999237060547,0.372,0.226,,30.8,40,0.82,18.8,Low
LPIS-61713936351_18A,Spring Barley,2.3299999237060547,0.69,0.448,,15,40,0.69,17.7,Low
LPIS-61634016823_85D,Fallow,2.3299999237060547,0.736,0.479,,22.1,15,0.28,11.9,Low
LPIS-61773933881_97A,Winter Wheat,2.3299999237060547,0.669,0.493,,12.8,40,0.79,18.5,Low
LPIS-61713970929_7A,Ley / Grass,2.3299999237060547,0.799,0.531,,7.5,70,0.61,44.4,Moderate
LPIS-61604015574_7A,Ley / Grass,2.3299999237060547,0.715,0.497,,10.6,40,0.57,18.7,Low
LPIS-61823963765_96B,Ley / Grass,2.319999933242798,0.633,0.399,,17.1,40,0.53,17.7,Low
LPIS-61584066701_60A,Winter Wheat,2.319999933242798,0.82,0.664,,7.6,40,0.48,27,Low
LPIS-61713941252_3A,Ley / Grass,2.319999933242798,0.573,0.355,,11,40,0.92,16.9,Low
LPIS-61623966660_51A,Ley / Grass,2.319999933242798,0.755,0.497,,14.8,15,0.39,17,Low
LPIS-61613976704_32A,Ley / Grass,2.319999933242798,0.813,0.535,,5.5,15,0.47,27,Low
LPIS-61723980628_7A,Rye,2.319999933242798,0.708,0.481,,6.4,15,0.63,8.2,Low
LPIS-61494028197_14A,Rye,2.319999933242798,0.58,0.403,,23.2,15,0.54,10.1,Low
LPIS-61724035613_15A,Unknown,2.309999942779541,0.532,0.36,,16.8,40,0.68,18.2,Low
LPIS-61684032164_10A,Unknown,2.309999942779541,0.654,0.443,,23.3,70,0.67,29.7,Low
LPIS-61534066062_15A,Ley / Grass,2.309999942779541,0.659,0.463,,29.6,40,0.4,19.8,Low
LPIS-61584085655_25A,Ley / Grass,2.309999942779541,0.548,0.353,,41.8,70,0.71,31.1,Moderate
LPIS-61743957135_19A,Ley / Grass,2.309999942779541,0.87,0.598,,4.4,15,0.68,37.9,Moderate
LPIS-61623962411_47A,Ley / Grass,2.309999942779541,0.663,0.462,,13.6,40,0.46,18.1,Low
LPIS-61773956627_18A,Ley / Grass,2.309999942779541,0.673,0.436,,15.1,40,0.79,17.7,Low
LPIS-61673948484_18A,Sugar Beet,2.309999942779541,0.745,0.486,,12.6,40,0.61,17.5,Low
LPIS-61704006273_57A,Ley / Grass,2.309999942779541,0.705,0.489,,10.3,40,0.73,17.7,Low
LPIS-61734010921_5A,Unknown,2.309999942779541,0.742,0.486,,13.6,40,0.84,29.6,Low
LPIS-61773985346_17B,Spring Barley,2.299999952316284,0.759,0.554,,17.6,40,0.8,18.9,Low
LPIS-61664004993_9A,Ley / Grass,2.299999952316284,0.799,0.534,,11.8,70,0.57,44.9,Moderate
LPIS-61713983671_197A,Spring Barley,2.299999952316284,0.721,0.538,,14.8,40,0.69,18.8,Low
LPIS-61763966896_2A,Ley / Grass,2.299999952316284,0.708,0.449,,16.2,70,0.62,28.4,Low
LPIS-61723934315_10A,Ley / Grass,2.299999952316284,0.809,0.519,,5.7,40,0.56,35.1,Moderate
LPIS-61713934692_7A,Winter Wheat,2.299999952316284,0.761,0.568,,7,40,0.73,18.1,Low
LPIS-61604062018_3B,Spring Barley,2.299999952316284,0.613,0.426,,23.5,40,0.77,19.1,Low
LPIS-61713966554_2A,Fallow,2.2899999618530273,0.698,0.446,,10.3,40,0.57,17.1,Low
LPIS-61693938159_3A,Ley / Grass,2.2899999618530273,0.556,0.361,,24.7,40,0.46,18.7,Low
LPIS-61494007267_28A,Spring Barley,2.2899999618530273,0.779,0.515,,14.3,15,0.32,9.3,Low
LPIS-61703929841_13A,Ley / Grass,2.2899999618530273,0.726,0.511,,16,15,0.63,12.3,Low
LPIS-61554039661_130A,Spring Barley,2.2899999618530273,0.771,0.628,,30.5,15,0.57,12.2,Low
LPIS-61733945276_12A,Unknown,2.2899999618530273,0.883,0.64,,7,40,0.7,59.1,Moderate
LPIS-61584053691_57A,Winter Wheat,2.2899999618530273,0.866,0.68,,11.5,15,0.58,28.3,Low
LPIS-61743995109_27A,Unknown,2.2899999618530273,0.755,0.502,,12.4,40,0.63,32.3,Moderate
LPIS-61724029571_5A,Unknown,2.2799999713897705,0.638,0.392,,14.4,40,0.57,17.2,Low
LPIS-61593990570_2E,Ley / Grass,2.2799999713897705,0.611,0.394,,34.3,15,0.74,10.6,Low
LPIS-61624065414_11A,Unknown,2.2799999713897705,0.682,0.446,,11.3,40,0.53,17.4,Low
LPIS-61694024220_53A,Ley / Grass,2.2799999713897705,0.825,0.581,,7.1,40,0.79,39,Moderate
LPIS-61553994547_1B,Sugar Beet,2.2799999713897705,0.729,0.518,,14.7,15,0.94,9.4,Low
LPIS-61703930484_3A,Ley / Grass,2.2799999713897705,0.662,0.422,,16.7,40,0.58,17.7,Low
LPIS-61713927840_107A,Ley / Grass,2.2799999713897705,0.795,0.499,,7,40,0.6,32.5,Moderate
LPIS-61743978955_42A,Ley / Grass,2.2799999713897705,0.831,0.555,,7.4,40,0.68,39.7,Moderate
LPIS-61763930507_93A,Ley / Grass,2.2699999809265137,0.757,0.505,,8,40,0.66,25.9,Low
LPIS-61624031415_66A,Ley / Grass,2.2699999809265137,0.793,0.514,,9.1,15,0.59,23.6,Low
LPIS-61704036254_83A,Ley / Grass,2.2699999809265137,0.751,0.519,,22.3,70,0.65,37.4,Moderate
LPIS-61703941243_1A,Ley / Grass,2.2699999809265137,0.636,0.414,,15.6,40,0.62,17.8,Low
LPIS-61534066186_130A,Ley / Grass,2.2699999809265137,0.633,0.417,,10.5,40,0.45,17.3,Low
LPIS-61564036976_14A,Ley / Grass,2.2699999809265137,0.774,0.502,,9.1,40,0.78,28.9,Low
LPIS-61583991268_33A,Rapeseed,2.2699999809265137,0.811,0.631,,12.8,15,0.56,19.8,Low
LPIS-61584047309_48A,Ley / Grass,2.2699999809265137,0.574,0.37,,30.1,40,0.52,19.2,Low
LPIS-61623960946_11B,Ley / Grass,2.2699999809265137,0.746,0.5,,8.9,15,0.48,14.9,Low
LPIS-61763944286_19B,Ley / Grass,2.2699999809265137,0.612,0.443,,37.1,70,0.55,31.6,Moderate
LPIS-61753980478_4A,Ley / Grass,2.2699999809265137,0.417,0.27,,66.3,40,0.59,22.8,Low
LPIS-61584068620_48B,Ley / Grass,2.259999990463257,0.629,0.426,,22.1,15,0.6,9.7,Low
LPIS-61624053771_30A,Unknown,2.259999990463257,0.645,0.425,,11.4,40,0.65,17.4,Low
LPIS-61634037189_13A,Ley / Grass,2.259999990463257,0.76,0.497,,15.9,40,0.44,27.1,Low
LPIS-61743991228_20A,Unknown,2.259999990463257,0.785,0.532,,11.8,40,0.66,38.6,Moderate
LPIS-61714017961_5A,Ley / Grass,2.259999990463257,0.713,0.441,,14.2,15,0.88,8.8,Low
LPIS-61523981896_15A,Sugar Beet,2.259999990463257,0.853,0.588,,5.5,5,0.78,24.2,Low
LPIS-61714028567_3A,Unknown,2.259999990463257,0.527,0.345,,10.4,70,0.81,28.1,Low
LPIS-61644035154_18A,Fallow,2.259999990463257,0.726,0.487,,20.1,70,0.64,29.9,Low
LPIS-61724020744_7A,Ley / Grass,2.25,0.635,0.426,,8,70,0.67,28,Low
LPIS-61614000735_25A,Fallow,2.25,0.838,0.577,,12.8,15,0.73,30,Moderate
LPIS-61733972618_3B,Maize,2.25,0.593,0.369,,11.9,15,0.9,10,Low
LPIS-61743959932_21A,Ley / Grass,2.25,0.85,0.574,,9.6,40,0.75,43.6,Moderate
LPIS-61773936872_105A,Winter Wheat,2.25,0.667,0.436,,5.9,40,0.9,16.8,Low
LPIS-61683962210_102A,Ley / Grass,2.25,0.657,0.424,,12.2,40,0.83,17.4,Low
LPIS-61534027466_4C,Ley / Grass,2.25,0.595,0.382,,35.8,40,0.33,19.7,Low
LPIS-61483978293_3A,Rapeseed,2.240000009536743,0.85,0.651,,14.4,15,0.73,26.9,Low
LPIS-61623979859_219A,Ley / Grass,2.240000009536743,0.696,0.446,,14.8,40,0.5,17.6,Low
LPIS-61663967380_2A,Ley / Grass,2.240000009536743,0.713,0.483,,10.8,40,0.67,18.1,Low
LPIS-61733977370_35A,Spring Barley,2.240000009536743,0.851,0.612,,8,40,0.73,32.6,Moderate
LPIS-61733982477_22B,Winter Wheat,2.240000009536743,0.672,0.492,,16.7,40,0.54,18.9,Low
LPIS-61713936359_19A,Spring Barley,2.240000009536743,0.67,0.425,,13.6,40,0.66,17.4,Low
LPIS-61524022845_6A,Rapeseed,2.240000009536743,0.766,0.585,,10.7,40,0.56,20,Low
LPIS-61773945923_110A,Winter Wheat,2.240000009536743,0.828,0.617,,12.8,40,0.89,28.6,Low
LPIS-61763947549_3A,Spring Barley,2.2300000190734863,0.783,0.597,,7.8,15,0.69,10.7,Low
LPIS-61624047308_12A,Ley / Grass,2.2300000190734863,0.7,0.464,,16.4,70,0.45,28.8,Low
LPIS-61614035854_24A,Maize,2.2300000190734863,0.44,0.309,,62.2,40,0.63,23.1,Low
LPIS-61664011537_17A,Maize,2.2300000190734863,0.482,0.32,,72.1,40,0.81,23.6,Low
LPIS-61733985869_6A,Ley / Grass,2.2300000190734863,0.677,0.438,,11.6,40,0.65,17.3,Low
LPIS-61604000949_3B,Maize,2.2300000190734863,0.422,0.283,,70.7,40,0.87,23.5,Low
LPIS-61743988809_2A,Unknown,2.2300000190734863,0.766,0.52,,12.9,40,0.74,34.9,Moderate
LPIS-61693931853_35A,Ley / Grass,2.2200000286102295,0.715,0.476,,9.4,70,0.62,29,Low
LPIS-61524016147_8A,Winter Wheat,2.2200000286102295,0.8,0.541,,10.6,40,0.55,21.3,Low
LPIS-61663963878_24A,Ley / Grass,2.2200000286102295,0.755,0.524,,17,40,0.47,26.7,Low
LPIS-61534035281_20A,Ley / Grass,2.2200000286102295,0.789,0.521,,11.6,15,0.91,23.2,Low
LPIS-61823985194_175A,Ley / Grass,2.2200000286102295,0.402,0.203,,71.9,70,0.33,38.9,Moderate
LPIS-61703937277_10A,Ley / Grass,2.2200000286102295,0.525,0.323,,22.3,40,0.79,18,Low
LPIS-61773947324_72A,Ley / Grass,2.2100000381469727,0.809,0.531,,8.9,40,0.79,35.5,Moderate
LPIS-61683954302_54A,Ley / Grass,2.2100000381469727,0.708,0.464,,9.3,70,0.36,28,Low
LPIS-61554014784_2C,Unknown,2.2100000381469727,0.827,0.616,,7.5,15,0.74,38.8,Moderate
LPIS-61514036817_5A,Fallow,2.2100000381469727,0.816,0.635,,10.3,15,0.28,26.9,Low
LPIS-61624037454_43A,Ley / Grass,2.200000047683716,0.707,0.492,,7.8,40,0.58,17.5,Low
LPIS-61554018101_17A,Winter Wheat,2.200000047683716,0.663,0.439,,23.3,15,0.64,9.7,Low
LPIS-61684037434_10A,Unknown,2.200000047683716,0.637,0.431,,13.5,40,0.77,17.9,Low
LPIS-61743985088_25A,Unknown,2.200000047683716,0.775,0.508,,13.4,40,0.62,36.5,Moderate
LPIS-61574078913_103A,Ley / Grass,2.200000047683716,0.61,0.384,,20,15,0.57,9,Low
LPIS-61773980270_11A,Fallow,2.200000047683716,0.579,0.376,,14,40,0.78,17.6,Low
LPIS-61524027022_12A,Rapeseed,2.200000047683716,0.684,0.524,,17.1,40,0.6,19.3,Low
LPIS-61703939472_1A,Ley / Grass,2.200000047683716,0.762,0.494,,8,40,0.56,26.6,Low
LPIS-61574002284_2A,Spring Wheat,2.190000057220459,0.729,0.544,,26,15,0.56,11,Low
LPIS-61714010394_122A,Ley / Grass,2.190000057220459,0.646,0.417,,14.9,40,0.59,17.6,Low
LPIS-61473961771_5A,Spring Barley,2.190000057220459,0.738,0.603,,13.8,15,0.76,10.6,Low
LPIS-61704014370_11A,Unknown,2.180000066757202,0.58,0.376,,24.7,40,0.59,18.6,Low
LPIS-61484016789_12A,Unknown,2.180000066757202,0.825,0.554,,13.6,15,0.41,38,Moderate
LPIS-61724007258_117A,Fallow,2.1700000762939453,0.613,0.399,,26,40,0.61,18.8,Low
